State,District,Year,Area (Hectare),Production (Tonnes),Yield (Kg/Ha),Crop,Season,ndvi_mean,ndvi_max,ndvi_std,ndvi_reading_count
1. Karnataka,KODAGU,2014,,,,Arhar,Kharif,,,,
1. Karnataka,KODAGU,2015,,,,Arhar,Kharif,,,,
1. Karnataka,KODAGU,2016,,,,Arhar,Kharif,,,,
1. Karnataka,KODAGU,2017,,,,Arhar,Kharif,,,,
1. Karnataka,KODAGU,2018,,,,Arhar,Kharif,,,,
1. Karnataka,KODAGU,2019,3.0,2.0,0.67,Arhar,Kharif,0.365,0.365,,1.0
1. Karnataka,KODAGU,2020,2.0,2.0,1.0,Arhar,Kharif,0.3609,0.3609,,1.0
1. Karnataka,KOLAR,2010,4086.0,7503.0,1.84,Arhar,Kharif,,,,
1. Karnataka,KOLAR,2011,3401.0,5208.0,1.53,Arhar,Kharif,,,,
1. Karnataka,KOLAR,2012,3829.0,4420.0,1.15,Arhar,Kharif,,,,
1. Karnataka,KOLAR,2013,2506.0,1895.0,0.76,Arhar,Kharif,,,,
1. Karnataka,KOLAR,2014,4657.0,4929.0,1.06,Arhar,Kharif,,,,
1. Karnataka,KOLAR,2015,2637.0,1816.0,0.69,Arhar,Kharif,,,,
1. Karnataka,KOLAR,2016,3540.0,972.0,0.27,Arhar,Kharif,,,,
1. Karnataka,KOLAR,2017,2297.0,2653.0,1.15,Arhar,Kharif,,,,
1. Karnataka,KOLAR,2018,2053.0,876.0,0.43,Arhar,Kharif,,,,
1. Karnataka,KOLAR,2019,1028.0,560.0,0.54,Arhar,Kharif,0.1608,0.1608,,1.0
1. Karnataka,KOLAR,2020,1233.0,811.0,0.66,Arhar,Kharif,,,,
1. Karnataka,KOPPAL,2010,12677.0,5757.0,0.45,Arhar,Kharif,,,,
1. Karnataka,KOPPAL,2011,10684.0,3136.0,0.29,Arhar,Kharif,,,,
1. Karnataka,KOPPAL,2012,7769.0,3366.0,0.43,Arhar,Kharif,,,,
1. Karnataka,KOPPAL,2013,10186.0,4809.0,0.47,Arhar,Kharif,,,,
1. Karnataka,KOPPAL,2014,14572.0,8472.0,0.58,Arhar,Kharif,,,,
1. Karnataka,KOPPAL,2015,11637.0,3969.0,0.34,Arhar,Kharif,,,,
1. Karnataka,KOPPAL,2016,25501.0,12428.0,0.49,Arhar,Kharif,,,,
1. Karnataka,KOPPAL,2017,17255.0,9819.0,0.57,Arhar,Kharif,,,,
1. Karnataka,KOPPAL,2018,24740.0,6722.0,0.27,Arhar,Kharif,,,,
1. Karnataka,KOPPAL,2019,33633.0,11375.0,0.34,Arhar,Kharif,0.20701999999999998,0.2458,0.07175811452372477,5.0
1. Karnataka,KOPPAL,2020,33896.0,17219.0,0.51,Arhar,Kharif,0.30804166666666666,0.3757,0.07112974647314114,12.0
1. Karnataka,MANDYA,2010,1548.0,907.0,0.59,Arhar,Kharif,,,,
1. Karnataka,MANDYA,2011,1365.0,499.0,0.37,Arhar,Kharif,,,,
