State,District,Year,Crop,Season,Yield
Karnataka,Bellary,2015 - 2016,Bajra,Kharif,0.92
Karnataka,Bellary,2016 - 2017,Bajra,Kharif,1.26
Karnataka,Bellary,2017 - 2018,Bajra,Kharif,1.84
Karnataka,Bellary,2018 - 2019,Bajra,Kharif,1.14
Karnataka,Bellary,2019 - 2020,Bajra,Kharif,1.5
Karnataka,Bellary,2020 - 2021,Bajra,Kharif,1.8
Karnataka,urban,2012 - 2013,Bajra,Kharif,1.0
Karnataka,urban,2013 - 2014,Bajra,Kharif,1.14
Karnataka,urban,2017 - 2018,Bajra,Kharif,1.67
Karnataka,urban,2018 - 2019,Bajra,Kharif,0.89
Karnataka,urban,2019 - 2020,Bajra,Kharif,1.06
Karnataka,urban,2020 - 2021,Bajra,Kharif,1.43
Karnataka,Bidar,2010 - 2011,Bajra,Kharif,0.76
Karnataka,Bidar,2011 - 2012,Bajra,Kharif,0.91
Karnataka,Bidar,2012 - 2013,Bajra,Kharif,1.13
Karnataka,Bidar,2013 - 2014,Bajra,Kharif,1.14
Karnataka,Bidar,2014 - 2015,Bajra,Kharif,1.01
Karnataka,Bidar,2015 - 2016,Bajra,Kharif,0.7
Karnataka,Bidar,2016 - 2017,Bajra,Kharif,0.67
Karnataka,Bidar,2017 - 2018,Bajra,Kharif,1.45
Karnataka,Bidar,2018 - 2019,Bajra,Kharif,0.76
Karnataka,Bidar,2019 - 2020,Bajra,Kharif,0.98
Karnataka,Bidar,2020 - 2021,Bajra,Kharif,0.95
Karnataka,Bijapur,2010 - 2011,Bajra,Kharif,0.7
Karnataka,Bijapur,2011 - 2012,Bajra,Kharif,0.75
Karnataka,Bijapur,2012 - 2013,Bajra,Kharif,0.94
Karnataka,Bijapur,2013 - 2014,Bajra,Kharif,1.08
Karnataka,Bijapur,2014 - 2015,Bajra,Kharif,0.76
Karnataka,Bijapur,2015 - 2016,Bajra,Kharif,0.28
Karnataka,Bijapur,2016 - 2017,Bajra,Kharif,1.14
Karnataka,Bijapur,2017 - 2018,Bajra,Kharif,0.9
Karnataka,Bijapur,2018 - 2019,Bajra,Kharif,0.75
Karnataka,Bijapur,2019 - 2020,Bajra,Kharif,0.63
Karnataka,Bijapur,2020 - 2021,Bajra,Kharif,1.0
Karnataka,Chamarajanagar,2010 - 2011,Bajra,Kharif,0.98
Karnataka,Chamarajanagar,2011 - 2012,Bajra,Kharif,0.83
Karnataka,Chamarajanagar,2012 - 2013,Bajra,Kharif,1.97
Karnataka,Chamarajanagar,2013 - 2014,Bajra,Kharif,1.54
Karnataka,Chamarajanagar,2014 - 2015,Bajra,Kharif,1.24
